src_FID,nbr_FID,weight
38,196,0.26839763
39,20,0.2273634
39,22,0.44188908
39,39,1.0
39,57,0.98500246
39,68,0.2870761
39,71,0.16130196
39,74,0.8783738
39,98,0.15303093
39,103,0.23680466
39,119,0.7776021
39,175,0.617841
40,10,0.19475225
40,40,1.0
40,67,0.16550559
40,68,0.28418118
40,70,0.95832896
40,71,0.28371274
40,72,0.47334808
40,98,0.1511251
40,102,0.6454678
40,103,0.47154352
40,113,0.10716942
40,118,0.40344834
40,190,0.6197653
40,205,0.17143813
41,41,1.0
41,43,0.80295986
41,76,0.30935735
41,77,0.21537465
41,81,0.1457942
41,82,0.55184174
41,89,0.14712943
41,104,0.35391018
41,130,0.9302564
41,146,0.13362016
42,24,0.8821203
42,42,1.0
42,53,0.26112327
42,58,0.22001328
42,62,0.15633418
42,95,0.20039834
42,114,0.17900704
42,125,0.37186155
42,168,0.4284661
42,169,0.6830007
42,173,0.14273408
43,43,1.0
43,76,0.68534917
43,81,0.4296267
43,82,0.9125334
43,158,0.16576336
44,11,0.20059502
44,44,1.0
44,85,0.13686201
44,108,0.11659626
44,132,0.2220728
44,152,0.7484098
44,178,0.5456243
44,179,0.18299904
44,201,0.27004436
45,45,1.0
45,203,0.58913827
46,46,1.0
46,50,0.11027748
46,189,0.1086898
47,47,1.0
47,52,0.3598814
47,60,0.6732219
47,63,0.68420786
47,75,0.8646472
47,81,0.20413813
47,137,0.6194335
47,164,0.17186135
48,5,0.21667837
48,6,0.21074139
48,16,0.7132087
48,30,0.21647105
48,38,0.82599187
48,48,1.0
48,91,0.2234035
48,93,0.28265426
48,136,0.2203067
48,138,0.30473575
48,166,0.46243024
48,196,0.4801114
49,49,1.0
49,129,0.6990914
49,139,0.105997
49,147,0.43256447
50,18,0.3908088
50,21,0.9874965
50,35,0.32663393
50,50,1.0
50,200,0.5652337
51,13,0.12607008
51,51,1.0
51,112,0.65484333
52,52,1.0
52,69,0.17398863
52,73,0.6726647
52,141,0.4021405
52,164,0.9049204
53,13,0.17052375
53,53,1.0
53,58,0.37034613
53,62,0.64642614
53,95,0.3432766
53,112,0.13855757
53,114,0.31297383
53,125,0.5606107
53,168,0.31509233
53,169,0.47106907
54,24,0.47890255
54,37,0.99314165
54,42,0.7757892
54,54,1.0
54,95,0.4632162
54,111,0.89886564
54,125,0.694327
54,168,0.13143322
54,169,0.2843785
55,11,0.6636685
55,27,0.23901075
55,45,0.1467358
55,55,1.0
55,79,0.11060736
55,85,0.38998845
55,92,0.35446864
55,106,0.8892832
55,108,0.70674556
55,110,0.26023433
55,132,0.5384356
55,171,0.11253804
55,179,0.57316947
56,30,0.2115769
56,48,0.2311745
56,56,1.0
56,101,0.25867188
56,133,0.13831656
56,170,0.5892709
57,20,0.30206904
57,22,0.5435545
57,57,1.0
57,68,0.37214786
57,71,0.21556057
57,98,0.2111079
57,103,0.30597112
57,175,0.7126952
57,190,0.10221659
57,205,0.12417163
58,0,0.1077905
58,13,0.8948355
58,37,0.17982598
58,54,0.14370747
58,58,1.0
58,114,0.99343807
58,116,0.2140762
58,142,0.32569885
58,143,0.6161821
59,8,0.84605294
59,14,0.3860151
59,59,1.0
59,88,0.13605721
59,151,0.2622252
59,182,0.110049576
59,185,0.79851985
60,60,1.0
60,63,0.16468255
60,81,0.6711236
60,82,0.15165631
60,131,0.20055568
60,137,0.1623836
60,146,0.148696
60,158,0.32995874
61,61,1.0
61,72,0.9313174
61,113,0.44780675
61,141,0.25211442
62,13,0.63279414
62,58,0.8889529
62,62,1.0
62,114,0.8352947
62,142,0.13997996
62,143,0.33977017
63,60,0.999832
63,63,1.0
63,81,0.66008204
63,82,0.14632723
63,131,0.19403985
63,137,0.15676305
63,146,0.14342885
63,158,0.32101935
64,29,0.602874
64,30,0.24853526
64,48,0.19519594
64,64,1.0
64,101,0.10578826
64,134,0.2392985
65,64,0.25346792
65,65,1.0
66,55,0.19637613
66,66,1.0
66,105,0.3735808
67,0,0.30040926
67,36,0.9210419
67,67,1.0
67,115,0.48419055
67,140,0.11635838
67,145,0.119439885
67,199,0.12382506
68,19,0.14826754
68,20,0.56708425
68,22,0.82411593
68,32,0.2150856
68,68,1.0
68,71,0.10145431
68,96,0.10008398
68,98,0.9380454
68,103,0.21341875
68,175,0.47836208
69,47,0.92854387
69,52,0.19269718
69,60,0.44377577
69,63,0.45425364
69,69,1.0
69,75,0.6523035
69,137,0.39456946
70,22,0.15937144
70,68,0.43262577
70,70,1.0
70,71,0.14034486
70,98,0.2554029
70,102,0.81274873
70,103,0.646294
70,175,0.14321242
71,10,0.50648516
71,71,1.0
71,72,0.82065445
71,113,0.31540683
71,141,0.16089761
71,156,0.22706369
71,190,0.9289932
71,205,0.9586345
72,69,0.19680302
72,72,1.0
72,113,0.672763
72,141,0.43923452
73,10,0.2179458
73,70,0.35819414
73,72,0.19346362
73,73,1.0
73,102,0.11569949
73,113,0.12580355
73,118,0.16980529
73,190,0.29266742
74,22,0.15828772
74,68,0.41675094
74,71,0.3748728
74,72,0.12749416
74,74,1.0
74,98,0.24353008
74,103,0.49379236
74,119,0.98019826
74,175,0.89458144
74,190,0.20340228
74,205,0.23914354
75,60,0.9405194
75,63,0.94643486
75,75,1.0
75,81,0.46164483
75,131,0.10068466
75,158,0.18421999
76,52,0.20229195
76,60,0.40321037
76,63,0.41325727
76,76,1.0
76,137,0.40920746
77,9,0.75136745
77,43,0.74553746
77,76,0.26246002
77,77,1.0
77,81,0.11828542
77,82,0.49013707
77,130,0.8894481
77,146,0.85274476
77,172,0.1826855
77,197,0.10130003
77,204,0.1140908
78,1,0.38116264
78,49,0.67836165
78,78,1.0
78,123,0.51341546
78,129,0.32308856
78,135,0.17466617
78,147,0.14887083
78,177,0.20493571
78,183,0.80348355
79,1,0.35098562
79,2,0.81898606
79,49,0.16088082
79,78,0.58797765
79,79,1.0
79,177,0.1844611
79,183,0.23892221
80,12,0.47680527
80,80,1.0
80,128,0.15666401
80,154,0.23998563
80,157,0.38659826
80,160,0.2742971
80,161,0.7521133
80,162,0.5460187
80,187,0.16931583
80,188,0.8918872
80,191,0.14352168
80,193,0.28682795
80,195,0.9708009
80,198,0.11563375
81,9,0.4552221
81,43,0.2682548
81,76,0.32931376
81,77,0.28162268
81,81,1.0
81,82,0.57677746
81,89,0.19742508
81,104,0.4023484
81,130,0.115883686
81,131,0.66731644
81,146,0.57065517
81,158,0.83726496
82,9,0.104238935
82,60,0.20308457
82,63,0.20982692
82,76,0.90721065
82,81,0.68378377
82,82,1.0
82,131,0.20826855
82,137,0.20709988
82,146,0.15493785
82,158,0.34045354
83,10,0.12863071
83,31,0.5474324
83,40,0.13426682
83,83,1.0
83,122,0.8469621
83,156,0.26210785
83,176,0.535814
84,9,0.6358411
84,43,0.6296465
84,76,0.18701604
84,77,0.98106843
84,82,0.38069925
84,84,1.0
84,130,0.79378384
84,146,0.74918896
84,172,0.12496466
85,2,0.3976668
85,7,0.45954213
85,27,0.9502539
85,28,0.14739758
85,78,0.21374731
85,79,0.76831377
85,85,1.0
85,107,0.20401871
86,86,1.0
86,87,0.36536434
86,100,0.21009082
86,180,0.75632906
86,181,0.26434353
87,41,0.27081022
87,87,1.0
87,100,0.94147116
87,130,0.1362506
87,148,0.74340934
87,180,0.47960237
87,181,0.11115448
87,197,0.39351013
87,204,0.32300892
88,9,0.30829525
88,34,0.28052002
88,43,0.30347764
88,77,0.73892057
88,82,0.16367497
88,84,0.84120727
88,88,1.0
88,89,0.556949
88,130,0.45094812
88,146,0.40615925
89,14,0.11135862
89,34,0.87697536
89,77,0.10891548
89,84,0.15953864
89,88,0.41415954
89,89,1.0
89,151,0.56107277
89,186,0.36792222
90,83,0.37570655
90,90,1.0
90,99,0.14431249
90,122,0.1420572
91,3,0.30217132
91,5,0.5607428
91,6,0.5209551
91,15,0.19562104
91,16,0.3827285
91,33,0.16853137
91,91,1.0
91,93,0.7873483
91,136,0.8401774
91,138,0.5602147
91,144,0.11491259
91,166,0.19583379
91,192,0.17080475
91,196,0.20685865
92,46,0.44814855
92,92,1.0
93,5,0.19761977
93,6,0.848269
93,16,0.2577186
93,91,0.76516414
93,93,1.0
93,136,0.42104477
93,138,0.2466337
93,166,0.11820519
93,174,0.1791706
93,196,0.12585966
94,19,0.9634936
94,20,0.21719716
94,22,0.42709333
94,39,0.7728496
94,57,0.6719435
94,74,0.47097415
94,94,1.0
94,96,0.119588144
94,119,0.36114946
94,175,0.23603567
95,25,0.4190165
95,95,1.0
95,120,0.6601808
95,139,0.13549301
96,19,0.1946944
96,94,0.30728692
96,96,1.0
96,97,0.47829852
96,127,0.7507455
96,128,0.14549695
96,154,0.22488837
96,155,0.612034
96,159,0.42678857
96,160,0.15649906
96,163,0.28784597
96,198,0.10678577
96,206,0.8320478
97,19,0.44396153
97,39,0.2280064
97,57,0.16653858
97,94,0.60559547
97,96,0.39890882
97,97,1.0
97,127,0.4174753
97,155,0.29827216
97,159,0.1742024
97,163,0.100696445
97,206,0.50380397
98,19,0.279762
98,20,0.7786275
98,22,0.9656762
98,32,0.37772286
98,39,0.12451899
98,96,0.20225239
98,98,1.0
99,99,1.0
99,149,0.52170396
100,41,0.44396153
100,43,0.15324192
100,100,1.0
100,130,0.25438812
100,148,0.9124479
100,197,0.59212327
101,1,0.12004735
101,30,0.20637678
101,48,0.18793583
101,49,0.41774708
101,101,1.0
101,123,0.18917973
101,133,0.9423982
101,135,0.35513937
101,170,0.30229926
102,20,0.22953296
102,22,0.4450146
102,67,0.10472499
102,68,0.80933076
102,71,0.40872863
102,72,0.14463905
102,98,0.6015465
102,102,1.0
102,103,0.9587259
102,118,0.106427774
102,175,0.41434017
102,190,0.22721347
102,205,0.26557237
103,20,0.36219373
103,22,0.6174097
103,32,0.1072314
103,68,0.93723524
103,98,0.77291036
103,103,1.0
103,175,0.28951442
104,34,0.58897245
104,88,0.18253812
104,89,0.8751505
104,104,1.0
104,151,0.28176996
104,186,0.15508527
105,11,0.42596605
105,27,0.11192149
105,55,0.92279136
105,85,0.20758292
105,92,0.1836273
105,105,1.0
105,106,0.675744
105,108,0.46696347
105,110,0.124393895
105,132,0.31806123
105,179,0.34649846
106,7,0.10238393
106,27,0.48243648
106,79,0.27186537
106,85,0.67427033
106,106,1.0
106,108,0.94102305
106,132,0.82093674
107,107,1.0
107,110,0.238215
107,171,0.11796478
107,201,0.72798693
108,2,0.16533388
108,7,0.20284656
108,27,0.6916639
108,79,0.44914317
108,85,0.86472374
108,108,1.0
108,132,0.9616901
109,13,0.2166162
109,24,0.5110487
109,51,0.6525015
109,58,0.4421055
109,95,0.4640655
109,109,1.0
109,112,0.18255655
109,114,0.3793108
109,125,0.1187274
109,168,0.14654712
109,169,0.30972052
110,53,0.6039028
110,62,0.15275522
110,110,1.0
110,125,0.114899494
110,167,0.77403283
110,168,0.36533597
110,169,0.12543952
110,171,0.41061538
110,173,0.513091
111,24,0.75391346
111,42,0.9690567
111,53,0.16776684
111,58,0.13780539
111,95,0.12385275
111,111,1.0
111,114,0.108940594
111,125,0.25323817
111,168,0.29951775
111,169,0.5316903
112,112,1.0
112,194,0.20270789
113,47,0.4292906
113,69,0.6577108
113,73,0.18513009
113,75,0.18405312
113,113,1.0
113,141,0.924944
113,164,0.37893522
114,0,0.13642932
114,13,0.9383754
114,37,0.22095735
114,54,0.17897071
114,58,0.99343807
114,114,1.0
114,116,0.2601409
114,142,0.38423923
114,143,0.68531656
115,0,0.94173926
115,13,0.11482107
115,37,0.3203313
115,54,0.26651996
115,111,0.11302797
115,115,1.0
115,116,0.24742484
115,142,0.513675
115,145,0.69257367
116,0,0.17156152
116,115,0.24160881
116,116,1.0
116,117,0.2674459
116,140,0.74610007
116,199,0.76320136
117,10,0.2934212
117,36,0.16410133
117,61,0.8045007
117,67,0.3267944
117,68,0.106909394
117,71,0.10557985
117,72,0.58423144
117,102,0.20845029
117,103,0.1409546
117,113,0.1561365
117,117,1.0
117,118,0.5225834
117,156,0.10945619
117,190,0.5216389
118,0,0.110176116
118,36,0.63385415
118,67,0.859947
118,115,0.21481752
118,117,0.15483966
118,118,1.0
119,22,0.2277919
119,67,0.123313434
119,68,0.532279
119,71,0.48629805
119,72,0.18755998
119,74,0.98019826
119,98,0.33408648
119,102,0.14510654
119,103,0.6138261
119,118,0.12524381
119,119,1.0
119,175,0.96369463
119,190,0.2849218
119,205,0.32880372
120,25,0.92026347
120,120,1.0
120,129,0.14684595
120,139,0.5532908
121,21,0.41232574
121,35,0.26128712
121,50,0.5029325
121,121,1.0
122,10,0.3500691
122,31,0.2693993
122,40,0.36095205
122,70,0.22804928
122,72,0.10147804
122,113,0.11171658
122,122,1.0
122,156,0.570126
122,176,0.86398315
122,190,0.1662971
123,1,0.9729598
123,2,0.27594173
123,7,0.27552998
123,28,0.43609422
123,78,0.13442884
123,107,0.10093279
123,123,1.0
123,177,0.82220507
124,16,0.11478184
124,23,0.16555716
124,30,0.20134364
124,124,1.0
124,134,0.13994959
124,165,0.21241459
124,166,0.1345173
124,196,0.1429654
125,25,0.23354226
125,95,0.928054
125,120,0.4307886
125,125,1.0
126,126,1.0
127,12,0.13205738
127,97,0.19859509
127,127,1.0
127,128,0.47078446
127,154,0.611669
127,155,0.97205514
127,157,0.109191865
127,159,0.85862637
127,160,0.5025132
127,162,0.1888022
127,163,0.71134645
127,187,0.3498194
127,198,0.38633582
128,19,0.18235394
128,94,0.29063818
128,96,0.1564166
128,97,0.8498106
128,127,0.46844634
128,128,1.0
128,154,0.15188208
128,155,0.5045788
128,159,0.3326535
128,160,0.10916674
128,163,0.21366514
128,198,0.98856187
128,206,0.55767447
129,109,0.2289086
129,129,1.0
129,139,0.4450146
129,147,0.90432197
130,43,0.9609514
130,76,0.51529783
130,81,0.28605962
130,82,0.77711904
130,130,1.0
131,41,0.13919176
131,43,0.12534164
131,82,0.10526168
131,86,0.20268802
131,131,1.0
131,146,0.9873159
131,172,0.35497165
131,197,0.22188312
131,204,0.24426992
132,2,0.27021185
132,7,0.3213902
132,27,0.84559757
132,78,0.13095582
132,79,0.6151866
132,85,0.96686727
132,107,0.12414389
132,132,1.0
133,1,0.22998576
133,49,0.6206609
133,123,0.33433014
133,129,0.18987961
133,133,1.0
133,135,0.5494718
133,177,0.10885276
133,183,0.11086158
134,49,0.21636744
134,101,0.91231966
134,133,0.74177915
134,134,1.0
134,135,0.17489836
134,170,0.14214933
135,1,0.8250968
135,2,0.13789546
135,7,0.13762532
135,28,0.24620487
135,49,0.47369662
135,123,0.92825013
135,129,0.18242757
135,135,1.0
135,177,0.599489
135,183,0.6047326
136,3,0.6326285
136,4,0.16072942
136,5,0.8888585
136,15,0.4773134
136,17,0.2233612
136,33,0.43127814
136,80,0.10754176
136,93,0.23680466
136,136,1.0
136,138,0.1486801
136,144,0.32955557
136,192,0.43526444
137,47,0.67220575
137,52,0.9033434
137,60,0.20477605
137,63,0.21155648
137,73,0.40666658
137,75,0.35937473
137,137,1.0
137,141,0.1976392
137,164,0.66820306
138,16,0.953267
138,30,0.4654822
138,38,0.4410859
138,48,0.1950415
138,101,0.22401786
138,133,0.11631874
138,138,1.0
138,165,0.10772827
138,166,0.766511
138,196,0.78346497
139,1,0.23901075
139,56,0.3533801
139,123,0.34558803
139,129,0.35159734
139,135,0.20250976
139,139,1.0
139,147,0.16624542
139,177,0.11412984
139,183,0.11621316
140,36,0.11189588
140,61,0.31582642
140,67,0.24082969
140,72,0.16588378
140,117,0.6916639
140,118,0.14554386
140,140,1.0
140,190,0.14930058
140,199,0.9995439
141,47,0.6637014
141,60,0.19965214
141,63,0.20631662
141,69,0.87336487
141,73,0.35374263
141,75,0.35212612
141,137,0.16945557
141,141,1.0
141,164,0.6076532
142,13,0.6512146
142,24,0.24163109
142,37,0.93910605
142,42,0.49581587
142,54,0.8946738
142,95,0.23074172
142,111,0.6466574
142,125,0.4150929
142,142,1.0
142,143,0.35516736
142,169,0.12037233
143,0,0.5301211
143,116,0.7424692
143,140,0.30684787
143,142,0.1539578
143,143,1.0
143,145,0.2617559
143,199,0.32128426
144,3,0.17511296
144,5,0.28390986
144,6,0.5193604
144,15,0.11894213
144,16,0.267042
144,33,0.14415717
144,91,0.44099325
144,93,0.8495983
144,136,0.5452628
144,138,0.42092356
144,144,1.0
144,166,0.123603635
144,196,0.13152021
145,13,0.47312635
145,24,0.14008631
145,37,0.8086678
145,42,0.33359942
145,54,0.7440044
145,95,0.13269836
145,111,0.46879372
145,125,0.26777875
145,142,0.956817
145,143,0.22156724
145,145,1.0
146,41,0.18876444
146,86,0.2662591
146,146,1.0
146,148,0.11937253
146,172,0.4410859
146,197,0.28909048
146,204,0.3153806
147,109,0.4471857
147,147,1.0
148,41,0.69899434
148,43,0.3203842
148,82,0.15329066
148,130,0.4713221
148,148,1.0
148,197,0.8374015
149,90,0.22798489
149,149,1.0
150,87,0.8012693
150,100,0.5986261
150,148,0.35676315
150,150,1.0
150,180,0.1714734
150,197,0.12701343
151,9,0.16595258
151,34,0.1477451
151,43,0.16275664
151,77,0.5226811
151,84,0.63726467
151,88,0.9368839
151,89,0.35301757
151,130,0.26780257
151,146,0.2343059
151,151,1.0
152,11,0.58767915
152,27,0.29961956
152,55,0.13613158
152,79,0.1467358
152,85,0.4675943
152,92,0.29352182
152,132,0.6226841
152,152,1.0
153,45,0.74544364
153,153,1.0
153,203,0.1995149
154,12,0.106810495
154,19,0.11475571
154,94,0.19506074
154,97,0.72238815
154,127,0.3406997
154,128,0.9725595
154,154,1.0
154,155,0.7900839
154,159,0.80696386
154,160,0.44306403
154,162,0.15565953
154,163,0.65002626
154,187,0.29979774
154,198,0.9276414
154,206,0.42028746
155,12,0.20728092
155,97,0.29622003
155,128,0.61299646
155,154,0.7529206
155,155,1.0
155,157,0.17520241
155,159,0.9519022
155,160,0.64589745
155,162,0.283491
155,163,0.8416402
155,187,0.4802069
155,188,0.13535966
155,193,0.10185873
155,198,0.5215411
155,206,0.117338784
156,31,0.85510814
156,83,0.1434907
156,99,0.118111655
156,122,0.40917748
156,156,1.0
156,176,0.17157914
157,94,0.10596014
157,97,0.53568304
157,127,0.20571545
157,128,0.86116
157,154,0.95284647
157,155,0.6081511
157,157,1.0
157,159,0.62729317
157,160,0.28393456
157,163,0.46415985
157,187,0.1763143
157,198,0.7835548
157,206,0.26595107
158,86,0.112576656
158,131,0.95502657
158,146,0.89827436
158,158,1.0
158,172,0.21905096
158,197,0.12517399
158,204,0.14016232
159,12,0.34352386
159,128,0.11278279
159,154,0.17955269
159,157,0.27664495
159,159,1.0
159,160,0.8237231
159,161,0.14529386
159,162,0.41593656
159,163,0.96290183
159,187,0.6675792
159,188,0.24069622
159,193,0.18906644
160,4,0.123894334
160,12,0.7032942
160,80,0.22003426
160,157,0.1346353
160,160,1.0
160,161,0.38656905
160,162,0.22625163
160,187,0.9625824
160,188,0.5447042
160,191,0.28145102
160,193,0.48537165
160,195,0.13984336
161,12,0.23870103
161,97,0.21961547
161,128,0.50402987
161,154,0.6460957
161,155,0.26870742
161,157,0.8231895
161,159,0.2826788
161,160,0.6946839
161,161,1.0
161,162,0.9421493
161,163,0.17638619
161,187,0.5282263
161,188,0.15875387
161,193,0.12080661
161,198,0.4171734
162,97,0.37746334
162,127,0.12057575
162,128,0.71134645
162,154,0.8405571
162,155,0.44309497
162,157,0.9619398
162,159,0.46104813
162,160,0.17554258
162,162,1.0
162,163,0.31614146
162,187,0.10093279
162,198,0.6204619
162,206,0.16257006
163,12,0.4944666
163,80,0.11307964
163,128,0.19290772
163,154,0.28784597
163,157,0.41397902
163,160,0.9413279
163,161,0.24011882
163,162,0.5765457
163,163,1.0
163,187,0.82310516
163,188,0.3686628
163,191,0.15226969
163,193,0.3007408
163,198,0.1448103
164,10,0.14155102
164,47,0.19496435
164,69,0.36323965
164,70,0.17193192
164,73,0.9063106
164,141,0.66527945
164,164,1.0
164,190,0.142134
165,23,0.9907531
165,124,0.101977915
165,165,1.0
165,174,0.5581692
166,16,0.16418673
166,30,0.8792049
166,38,0.23691463
166,48,0.5588619
166,64,0.26007083
166,65,0.31404516
166,101,0.606226
166,133,0.4047283
166,134,0.10371836
166,165,0.13208644
166,166,1.0
166,196,0.2694709
167,53,0.9592574
167,58,0.23656274
167,62,0.4735699
167,95,0.21593273
167,114,0.19340608
167,125,0.39424565
167,167,1.0
167,168,0.19494502
167,169,0.31716624
168,53,0.13611673
168,132,0.1275508
168,167,0.23232386
168,168,1.0
168,171,0.696727
168,173,0.79834396
168,179,0.18279609
168,202,0.2192808
169,167,0.10147804
169,168,0.91152686
169,169,1.0
169,171,0.44040674
169,173,0.54506564
170,16,0.12938796
170,23,0.1604941
170,30,0.2634714
170,64,0.20665781
170,65,0.27807903
170,134,0.1697178
170,165,0.20637678
170,166,0.15094832
170,170,1.0
170,196,0.16014157
171,11,0.38226423
171,27,0.21309046
171,45,0.1121909
